annee,codsem,codfil,codniv,typjour,heure,codpro,codmat
2025/2026,S011225-071225,CFPISA,01,Mardi,13,GATCHAKOUTIO,INSRESTUY
2025/2026,S011225-071225,CFPISA,01,Mardi,14,GATCHAKOUTIO,INSRESTUY
2025/2026,S011225-071225,CFPISA,01,Mardi,15,GATCHAKOUTIO,INSRESTUY
2025/2026,S011225-071225,CFPISA,01,Mardi,16,GATCHAKOUTIO,INSRESTUY
2025/2026,S011225-071225,CFPISA,01,Mercredi,08,JOKAMGA,MATHGENE1
2025/2026,S011225-071225,CFPISA,01,Mercredi,09,JOKAMGA,MATHGENE1
2025/2026,S011225-071225,CFPISA,01,Mercredi,10,JOKAMGA,MATHGENE1
2025/2026,S011225-071225,CFPISA,01,Mercredi,11,JOKAMGA,MATHGENE1
2025/2026,S011225-071225,CFPISA,01,Samedi,08,CHGOMA,ENTEREPAR
2025/2026,S011225-071225,CFPISA,01,Samedi,09,CHGOMA,ENTEREPAR
2025/2026,S011225-071225,CFPISA,01,Samedi,10,CHGOMA,ENTEREPAR
2025/2026,S011225-071225,CFPISA,01,Samedi,11,CHGOMA,ENTEREPAR
2025/2026,S011225-071225,CFPISA,01,Vendredi,13,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPISA,01,Vendredi,14,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPISA,01,Vendredi,15,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPISA,01,Vendredi,16,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CGE,01,Jeudi,13,HUDJOMO,ECONOGENE
2025/2026,S011225-071225,CGE,01,Jeudi,14,HUDJOMO,ECONOGENE
2025/2026,S011225-071225,CGE,01,Jeudi,15,HUDJOMO,ECONOGENE
2025/2026,S011225-071225,CGE,01,Jeudi,16,HUDJOMO,ECONOGENE
2025/2026,S011225-071225,CGE,01,Lundi,08,STTSAMO,OPECOURT1
2025/2026,S011225-071225,CGE,01,Lundi,09,STTSAMO,OPECOURT1
2025/2026,S011225-071225,CGE,01,Lundi,10,STTSAMO,OPECOURT1
2025/2026,S011225-071225,CGE,01,Lundi,11,STTSAMO,OPECOURT1
2025/2026,S011225-071225,CGE,01,Lundi,13,HUDJOMO,ECONOGENE
2025/2026,S011225-071225,CGE,01,Lundi,14,HUDJOMO,ECONOGENE
2025/2026,S011225-071225,CGE,01,Lundi,15,HUDJOMO,ECONOGENE
2025/2026,S011225-071225,CGE,01,Lundi,16,HUDJOMO,ECONOGENE
2025/2026,S011225-071225,CGE,01,Mardi,08,STTSAMO,OPECOURT1
2025/2026,S011225-071225,CGE,01,Mardi,09,STTSAMO,OPECOURT1
2025/2026,S011225-071225,CGE,01,Mardi,10,STTSAMO,OPECOURT1
2025/2026,S011225-071225,CGE,01,Mardi,11,STTSAMO,OPECOURT1
2025/2026,S011225-071225,CGE,01,Mardi,13,STTSAMO,CPTASSOR1
2025/2026,S011225-071225,CGE,01,Mardi,14,STTSAMO,CPTASSOR1
2025/2026,S011225-071225,CGE,01,Mardi,15,STTSAMO,CPTASSOR1
2025/2026,S011225-071225,CGE,01,Mardi,16,STTSAMO,CPTASSOR1
2025/2026,S011225-071225,CGE,01,Mercredi,08,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,CGE,01,Mercredi,09,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,CGE,01,Mercredi,10,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,CGE,01,Mercredi,11,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,CGE,01,Mercredi,13,STTSAMO,OPECOURT1
2025/2026,S011225-071225,CGE,01,Mercredi,14,STTSAMO,OPECOURT1
2025/2026,S011225-071225,CGE,01,Mercredi,15,STTSAMO,OPECOURT1
2025/2026,S011225-071225,CGE,01,Mercredi,16,STTSAMO,OPECOURT1
2025/2026,S011225-071225,CGE,01,Vendredi,13,CHBRUKO,INFORGEN1
