annee,codsem,codfil,codniv,typjour,fourche,heure,codpro,codmat,jour,codsal
2025/2026,S011225-071225,NUS,01,Samedi,08H-12H,4,NCMICHAEL,ENGLISH,06,A42
2025/2026,S011225-071225,NUS,01,Samedi,13H-17H,4,CATCHUENTE,ANATAPHY1,06,A31
2025/2026,S011225-071225,NUS,01,Vendredi,08H-12H,4,CATCHUENTE,ANATAPHY1,05,B11
2025/2026,S011225-071225,NUS,01,Vendredi,13H-17H,4,YVFOTSO,CHEMISTRY,05,A01
2025/2026,S011225-071225,NUS,02,Jeudi,13H-17H,4,CATCHUENTE,GYNCOLCAR,04,B09
2025/2026,S011225-071225,NUS,02,Lundi,08H-12H,4,CEAWUNGDEH,INFPATLOC,01,B09
2025/2026,S011225-071225,NUS,02,Lundi,13H-17H,4,ZIKOM,CAREPEDIAT,01,B09
2025/2026,S011225-071225,NUS,02,Mardi,08H-12H,4,ZEEKINLEH,INTPARTU2,02,A11
2025/2026,S011225-071225,NUS,02,Mardi,13H-17H,4,YVFOTSO,BIOPHYSIC,02,B09
2025/2026,S011225-071225,NUS,02,Mercredi,08H-12H,4,YVFOTSO,BIOPHYSIC,03,B09
2025/2026,S011225-071225,NUS,02,Mercredi,13H-17H,4,NAMBALIDAM,PATHOLOGI,03,B10
2025/2026,S011225-071225,NUS,02,Samedi,08H-12H,4,ZEEKINLEH,BREASTFEE,06,B01
2025/2026,S011225-071225,NUS,02,Vendredi,08H-12H,4,DASAIFA,CHIDCARE,05,B09
2025/2026,S011225-071225,NUS,02,Vendredi,13H-17H,4,DASAIFA,CHIDCARE,05,B09
2025/2026,S011225-071225,NUS,03,Jeudi,08H-12H,4,CATCHUENTE,TECHCASPE,04,A22
2025/2026,S011225-071225,NUS,03,Lundi,08H-12H,4,ZEEKINLEH,PERSONRES,01,B08
2025/2026,S011225-071225,NUS,03,Mercredi,08H-12H,4,ZIKOM,PRATICE,03,B11
2025/2026,S011225-071225,NUS,03,Mercredi,13H-17H,4,ZIKOM,PRATICE,03,B11
2025/2026,S011225-071225,NUS,03,Samedi,08H-12H,4,CATCHUENTE,TECHCASPE,06,A22
2025/2026,S011225-071225,NUS,03,Vendredi,08H-12H,4,ZEEKINLEH,PERSONRES,05,B08
2025/2026,S011225-071225,NUS,03,Vendredi,13H-17H,4,CATCHUENTE,TECHCASPE,05,A22
2025/2026,S011225-071225,QSRI,03,Jeudi,08H-12H,4,JUMALAVAYE,EQUADIFFE,04,B11
2025/2026,S011225-071225,QSRI,03,Jeudi,13H-17H,4,ACLADJOU,MECMILCON,04,A22
2025/2026,S011225-071225,QSRI,03,Lundi,08H-12H,4,JUMALAVAYE,EQUADIFFE,01,B11
2025/2026,S011225-071225,QSRI,03,Lundi,13H-17H,4,JUMALAVAYE,EQUADIFFE,01,B11
2025/2026,S011225-071225,QSRI,03,Mercredi,08H-12H,4,KOWELVEDE,TECHNICOM,03,A33
2025/2026,S011225-071225,SFM,01,Jeudi,08H-12H,4,ADMINISTR,TECINFCOM,04,A32
2025/2026,S011225-071225,SFM,01,Lundi,08H-12H,4,ALHAPPY,CYCLDEVIE,01,A22
2025/2026,S011225-071225,SFM,01,Lundi,13H-17H,4,FREDA,NUTRIHUMA,01,A11
2025/2026,S011225-071225,SFM,01,Mardi,13H-17H,4,ALHAPPY,CYCLDEVIE,02,A22
2025/2026,S011225-071225,SFM,01,Mercredi,08H-12H,4,ADMINISTR,TECINFCOM,03,A32
2025/2026,S011225-071225,SFM,01,Mercredi,13H-17H,4,ALHAPPY,CYCLDEVIE,03,A22
2025/2026,S011225-071225,SFM,01,Samedi,08H-12H,4,THNGAKO,CHIMIEGEN,06,A23
2025/2026,S011225-071225,SFM,01,Vendredi,08H-12H,4,FREDA,PUECULTUR,05,A33
2025/2026,S011225-071225,SFM,04,Jeudi,17H30-21H30,4,CHMBA,PRORECHER,04,B11
2025/2026,S011225-071225,SFM,04,Mardi,17H30-21H30,4,THNGAKO,SOIMATSRP,02,A43
2025/2026,S011225-071225,SFM,04,Mercredi,17H30-21H30,4,THNGAKO,SOIMATSRP,03,A43
2025/2026,S011225-071225,SFM,04,Vendredi,17H30-21H30,4,ROMBAKMENE,PRESPYACC,05,A42
2025/2026,S011225-071225,SIN,01,Jeudi,08H-12H,4,ADMINISTR,TECINFCOM,04,A32
2025/2026,S011225-071225,SIN,01,Lundi,08H-12H,4,ALHAPPY,CYCLDEVIE,01,A22
2025/2026,S011225-071225,SIN,01,Lundi,13H-17H,4,THNGAKO,HISPROINF,01,A12
2025/2026,S011225-071225,SIN,01,Mardi,08H-12H,4,THNGAKO,HISPROINF,02,A12
2025/2026,S011225-071225,SIN,01,Mardi,13H-17H,4,ALHAPPY,CYCLDEVIE,02,A22
2025/2026,S011225-071225,SIN,01,Mercredi,08H-12H,4,ADMINISTR,TECINFCOM,03,A32
